candidate_id,source,years_experience,education_level,gpa,tech_assessment,behavioral_assessment,coding_challenge,interview_score,notice_period_days,offer_accepted,interviewer_notes_keywords,probation_passed,performance_rating_6mo,performance_rating_12mo,tenure_months,high_performer_flag,voluntary_attrition
467,LinkedIn,4,Master,2.5,73,71,75,7.1,30,1,business_analyst commercial_minded,1,2.9,3.0,62,1,0
468,Referral,3,Bachelor,2.4,65,72,67,7.2,45,1,culture_fit value_aligned,1,2.7,2.9,53,1,0
469,Career_Fair,1,Bachelor,1.6,49,59,51,5.4,30,1,entry_level_raw potential_untapped,1,1.7,1.8,33,0,0
470,Company_Website,5,Master,2.1,65,64,67,6.5,30,1,corporate_professional reliable_worker,1,2.2,2.3,48,0,0
471,Indeed,2,Bachelor,1.8,52,50,54,5.1,60,1,minimum_performer coasting,1,1.4,1.5,22,0,1
472,LinkedIn,7,PhD,2.6,77,70,79,7.3,90,0,academic_career research_focused,0,,,0,0,
473,Referral,2,Bachelor,2.2,62,69,64,7.0,30,1,positive_energy team_focused,1,2.5,2.7,54,1,0
474,Campus,0,Bachelor,1.7,53,51,55,5.7,90,1,average_student needs_guidance,1,1.6,1.8,39,0,0
475,Indeed,5,Bachelor,2.1,60,58,62,6.1,30,1,experienced_average plateaued_growth,1,2.0,2.1,31,0,1
476,LinkedIn,5,Master,2.6,74,72,76,7.2,30,1,technical_leader architecture,1,3.0,3.1,63,1,0
477,Referral,4,Bachelor,2.5,69,76,71,7.4,45,1,culture_champion value_driven,1,3.0,3.1,55,1,0
478,Career_Fair,2,Associate,1.7,51,63,53,5.9,30,1,practical_skills vocational_background,1,1.8,2.0,38,0,0
479,Company_Website,6,Master,2.3,70,69,72,6.9,30,1,corporate_steady consistent_worker,1,2.6,2.7,52,1,0
480,Indeed,3,Bachelor,1.5,47,49,50,4.7,30,1,weak_performer struggles_basic,0,0.9,,19,0,1
481,LinkedIn,8,PhD,2.9,81,74,83,7.7,60,1,industry_thought_leader pioneer,1,3.6,3.7,43,1,1
482,Referral,1,Bachelor,2.0,59,67,61,6.8,30,1,fast_learner adaptive_thinking,1,2.3,2.5,47,0,0
483,Campus,0,Master,2.1,65,58,67,6.2,60,1,academic_background needs_real_experience,1,2.0,2.2,44,0,0
484,Indeed,6,Bachelor,2.2,62,60,64,6.3,14,1,technical_competent poor_collaboration,1,2.2,2.3,33,0,1
485,LinkedIn,4,Master,2.4,72,70,74,7.0,30,1,business_analyst data_driven,1,2.8,2.9,64,1,0
486,Referral,3,Bachelor,2.3,64,71,66,7.1,45,1,culture_fit value_match,1,2.6,2.8,54,1,0
487,Career_Fair,1,Bachelor,1.5,48,58,50,5.3,30,1,entry_level_raw potential_untapped,1,1.6,1.7,34,0,0
488,Company_Website,5,Master,2.0,64,63,66,6.4,30,1,corporate_professional reliable,1,2.1,2.2,49,0,0
489,Indeed,2,Bachelor,1.7,51,49,53,5.0,60,1,minimum_performer coasting_along,1,1.3,1.4,23,0,1
490,LinkedIn,7,PhD,2.5,76,69,78,7.2,90,0,research_focused may_not_fit,0,,,0,0,
491,Referral,2,Bachelor,2.1,61,68,63,6.9,30,1,positive_contributor team_player,1,2.4,2.6,55,1,0
492,Campus,0,Bachelor,1.6,52,50,54,5.6,90,1,average_student needs_help,1,1.5,1.7,40,0,0
493,Indeed,5,Bachelor,2.0,59,57,61,6.0,30,1,experienced_moderate plateaued,1,1.9,2.0,32,0,1
494,LinkedIn,5,Master,2.5,73,71,75,7.1,30,1,technical_leader system_designer,1,2.9,3.0,65,1,0
495,Referral,4,Bachelor,2.4,68,75,70,7.3,45,1,culture_advocate value_champion,1,2.9,3.0,56,1,0
496,Career_Fair,2,Associate,1.6,50,62,52,5.8,30,1,practical_skills hands_on,1,1.7,1.9,39,0,0
497,Company_Website,6,Master,2.2,69,68,71,6.8,30,1,corporate_veteran process_expert,1,2.5,2.6,53,1,0
498,Indeed,3,Bachelor,1.4,46,48,49,4.6,30,1,weak_performer struggles,0,0.8,,20,0,1
499,LinkedIn,8,PhD,2.8,80,73,82,7.6,60,1,industry_leader field_expert,1,3.5,3.6,44,1,1
500,Referral,1,Bachelor,1.9,58,66,60,6.7,30,1,fast_learner adaptive,1,2.2,2.4,48,0,0
